,site,name,day,total rainfall (mm),latitude,longitude
0,TA00002,Benso SHS,2018-05-15,0,5.1525726,-1.88152258
1,TA00002,Benso SHS,2018-05-16,3.11,5.1525726,-1.88152258
2,TA00002,Benso SHS,2018-05-17,3.54,5.1525726,-1.88152258
3,TA00002,Benso SHS,2018-05-18,0.04,5.1525726,-1.88152258
4,TA00002,Benso SHS,2018-05-19,8.37,5.1525726,-1.88152258
5,TA00003,Prestea SHTS,2018-05-15,0.79,5.4468564,-2.13392852
6,TA00003,Prestea SHTS,2018-05-16,0.25,5.4468564,-2.13392852
7,TA00003,Prestea SHTS,2018-05-17,10.13,5.4468564,-2.13392852
8,TA00003,Prestea SHTS,2018-05-18,5.58,5.4468564,-2.13392852
9,TA00003,Prestea SHTS,2018-05-19,4.75,5.4468564,-2.13392852
10,TA00004,Manso Amenfi NVTI,2018-05-15,0.1,5.643022,-2.26681728
11,TA00004,Manso Amenfi NVTI,2018-05-16,0.18,5.643022,-2.26681728
12,TA00004,Manso Amenfi NVTI,2018-05-17,0.04,5.643022,-2.26681728
13,TA00004,Manso Amenfi NVTI,2018-05-18,0.02,5.643022,-2.26681728
14,TA00004,Manso Amenfi NVTI,2018-05-19,0.04,5.643022,-2.26681728
15,TA00005,Asankragwa SHS,2018-05-15,0,5.80769241,-2.42643302
16,TA00005,Asankragwa SHS,2018-05-16,7.2,5.80769241,-2.42643302
17,TA00005,Asankragwa SHS,2018-05-17,10.75,5.80769241,-2.42643302
18,TA00005,Asankragwa SHS,2018-05-18,0.77,5.80769241,-2.42643302
19,TA00005,Asankragwa SHS,2018-05-19,0.81,5.80769241,-2.42643302
20,TA00006,Nana Brentu SHTS Enchi,2018-05-15,0,5.81129176,-2.82561693
21,TA00006,Nana Brentu SHTS Enchi,2018-05-16,0.04,5.81129176,-2.82561693
22,TA00006,Nana Brentu SHTS Enchi,2018-05-17,15.97,5.81129176,-2.82561693
23,TA00006,Nana Brentu SHTS Enchi,2018-05-18,4.12,5.81129176,-2.82561693
24,TA00006,Nana Brentu SHTS Enchi,2018-05-19,0.06,5.81129176,-2.82561693
25,TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-15,0,7.18825723,-2.09751897
26,TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-16,0,7.18825723,-2.09751897
27,TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-17,0,7.18825723,-2.09751897
28,TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-18,0.04,7.18825723,-2.09751897
29,TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-19,0.04,7.18825723,-2.09751897
30,TA00008,Sacred Heart SHS Nsoatre,2018-05-15,0,7.41300544,-2.47606859
31,TA00008,Sacred Heart SHS Nsoatre,2018-05-16,0,7.41300544,-2.47606859
32,TA00008,Sacred Heart SHS Nsoatre,2018-05-17,0.27,7.41300544,-2.47606859
33,TA00008,Sacred Heart SHS Nsoatre,2018-05-18,0.14,7.41300544,-2.47606859
34,TA00008,Sacred Heart SHS Nsoatre,2018-05-19,0,7.41300544,-2.47606859
35,TA00009,Adehyeman SHS Amasu,2018-05-15,0,7.224886,-2.7822522
36,TA00009,Adehyeman SHS Amasu,2018-05-16,0,7.224886,-2.7822522
37,TA00009,Adehyeman SHS Amasu,2018-05-17,0.83,7.224886,-2.7822522
38,TA00009,Adehyeman SHS Amasu,2018-05-18,0.02,7.224886,-2.7822522
39,TA00009,Adehyeman SHS Amasu,2018-05-19,0,7.224886,-2.7822522
40,TA00010,Chiraa SHS,2018-05-15,0.2,7.3896776,-2.18599491
41,TA00010,Chiraa SHS,2018-05-16,0.06,7.3896776,-2.18599491
42,TA00010,Chiraa SHS,2018-05-17,0.04,7.3896776,-2.18599491
43,TA00010,Chiraa SHS,2018-05-18,0.18,7.3896776,-2.18599491
44,TA00010,Chiraa SHS,2018-05-19,0.02,7.3896776,-2.18599491
45,TA00011,OLA Girls SS Kenyasi,2018-05-15,0.2,6.98578115,-2.3961548
46,TA00011,OLA Girls SS Kenyasi,2018-05-16,0.24,6.98578115,-2.3961548
47,TA00011,OLA Girls SS Kenyasi,2018-05-17,0.16,6.98578115,-2.3961548
48,TA00011,OLA Girls SS Kenyasi,2018-05-18,0.28,6.98578115,-2.3961548
49,TA00011,OLA Girls SS Kenyasi,2018-05-19,0.16,6.98578115,-2.3961548
50,TA00012,Hwidiem SHS,2018-05-15,0,6.93689228,-2.3538655
51,TA00012,Hwidiem SHS,2018-05-16,0.12,6.93689228,-2.3538655
52,TA00012,Hwidiem SHS,2018-05-17,0.82,6.93689228,-2.3538655
53,TA00012,Hwidiem SHS,2018-05-18,0.22,6.93689228,-2.3538655
54,TA00012,Hwidiem SHS,2018-05-19,0.06,6.93689228,-2.3538655
55,TA00013,Huni Valley SHS,2018-05-15,0.1,5.46947027,-1.90846766
56,TA00013,Huni Valley SHS,2018-05-16,11.99,5.46947027,-1.90846766
57,TA00013,Huni Valley SHS,2018-05-17,7.51,5.46947027,-1.90846766
58,TA00013,Huni Valley SHS,2018-05-18,4.68,5.46947027,-1.90846766
59,TA00013,Huni Valley SHS,2018-05-19,0.04,5.46947027,-1.90846766
60,TA00014,Juaboso SHS,2018-05-15,0,6.345183,-2.82625
61,TA00014,Juaboso SHS,2018-05-16,0,6.345183,-2.82625
62,TA00014,Juaboso SHS,2018-05-17,0,6.345183,-2.82625
63,TA00014,Juaboso SHS,2018-05-18,0,6.345183,-2.82625
64,TA00014,Juaboso SHS,2018-05-19,0,6.345183,-2.82625
65,TA00015,Bia SHTS Debiso,2018-05-15,0,6.664616,-3.097246
66,TA00015,Bia SHTS Debiso,2018-05-16,10.04,6.664616,-3.097246
67,TA00015,Bia SHTS Debiso,2018-05-17,26.83,6.664616,-3.097246
68,TA00015,Bia SHTS Debiso,2018-05-18,0,6.664616,-3.097246
69,TA00015,Bia SHTS Debiso,2018-05-19,0,6.664616,-3.097246
70,TA00016,"Accra Academy School, Accra",2018-05-15,0,5.5730222,-0.24447074
71,TA00016,"Accra Academy School, Accra",2018-05-16,0,5.5730222,-0.24447074
72,TA00016,"Accra Academy School, Accra",2018-05-17,28.34,5.5730222,-0.24447074
73,TA00016,"Accra Academy School, Accra",2018-05-18,0,5.5730222,-0.24447074
74,TA00016,"Accra Academy School, Accra",2018-05-19,0,5.5730222,-0.24447074
75,TA00039,KNUST JHS Kumasi,2018-05-15,0,6.684166667,-1.568333333
76,TA00039,KNUST JHS Kumasi,2018-05-16,0,6.684166667,-1.568333333
77,TA00039,KNUST JHS Kumasi,2018-05-17,0,6.684166667,-1.568333333
78,TA00039,KNUST JHS Kumasi,2018-05-18,0,6.684166667,-1.568333333
79,TA00039,KNUST JHS Kumasi,2018-05-19,0,6.684166667,-1.568333333
80,TA00040,"University for Development Studies, Navrongo Campus",2018-05-15,0,10.88472222,-1.090277778
81,TA00040,"University for Development Studies, Navrongo Campus",2018-05-16,0,10.88472222,-1.090277778
82,TA00040,"University for Development Studies, Navrongo Campus",2018-05-17,0,10.88472222,-1.090277778
83,TA00040,"University for Development Studies, Navrongo Campus",2018-05-18,0,10.88472222,-1.090277778
84,TA00040,"University for Development Studies, Navrongo Campus",2018-05-19,0,10.88472222,-1.090277778
85,TA00041,"Obuasi TSHS, Obuasi",2018-05-15,0,6.1871,-1.052630556
86,TA00041,"Obuasi TSHS, Obuasi",2018-05-16,0,6.1871,-1.052630556
87,TA00041,"Obuasi TSHS, Obuasi",2018-05-17,0,6.1871,-1.052630556
88,TA00041,"Obuasi TSHS, Obuasi",2018-05-18,0,6.1871,-1.052630556
89,TA00041,"Obuasi TSHS, Obuasi",2018-05-19,0,6.1871,-1.052630556
90,TA00042,"CRIG, Tafo",2018-05-15,0,6.22,-1.359444444
91,TA00042,"CRIG, Tafo",2018-05-16,0,6.22,-1.359444444
92,TA00042,"CRIG, Tafo",2018-05-17,0,6.22,-1.359444444
93,TA00042,"CRIG, Tafo",2018-05-18,0,6.22,-1.359444444
94,TA00042,"CRIG, Tafo",2018-05-19,0,6.22,-1.359444444
95,TA00043,"St. Joseph Technical School, Kwahu Tafo",2018-05-15,0,6.654452778,-0.669077778
96,TA00043,"St. Joseph Technical School, Kwahu Tafo",2018-05-16,0,6.654452778,-0.669077778
97,TA00043,"St. Joseph Technical School, Kwahu Tafo",2018-05-17,0,6.654452778,-0.669077778
98,TA00043,"St. Joseph Technical School, Kwahu Tafo",2018-05-18,0,6.654452778,-0.669077778
99,TA00043,"St. Joseph Technical School, Kwahu Tafo",2018-05-19,0,6.654452778,-0.669077778
100,TA00044,"Mountain High School, Kona, Ashanti Region",2018-05-15,0,6.851388889,-1.515
101,TA00044,"Mountain High School, Kona, Ashanti Region",2018-05-16,0,6.851388889,-1.515
102,TA00044,"Mountain High School, Kona, Ashanti Region",2018-05-17,0,6.851388889,-1.515
103,TA00044,"Mountain High School, Kona, Ashanti Region",2018-05-18,0.04,6.851388889,-1.515
104,TA00044,"Mountain High School, Kona, Ashanti Region",2018-05-19,0,6.851388889,-1.515
105,TA00045,"Asesewaa Senior High School, Asesewaa",2018-05-15,0,6.406175,-0.146602778
106,TA00045,"Asesewaa Senior High School, Asesewaa",2018-05-16,0,6.406175,-0.146602778
107,TA00045,"Asesewaa Senior High School, Asesewaa",2018-05-17,0,6.406175,-0.146602778
108,TA00045,"Asesewaa Senior High School, Asesewaa",2018-05-18,0,6.406175,-0.146602778
109,TA00045,"Asesewaa Senior High School, Asesewaa",2018-05-19,0,6.406175,-0.146602778
110,TA00046,"Dompoase Senior High School, Dompoase",2018-05-15,0,6.302466667,-1.520297222
111,TA00046,"Dompoase Senior High School, Dompoase",2018-05-16,0.75,6.302466667,-1.520297222
112,TA00046,"Dompoase Senior High School, Dompoase",2018-05-17,11.25,6.302466667,-1.520297222
113,TA00046,"Dompoase Senior High School, Dompoase",2018-05-18,0.04,6.302466667,-1.520297222
