site,name,day,total rainfall (mm),latitude,longitude
TA00002,Benso SHS,2018-05-15,0,5.1525726,-1.88152258
TA00002,Benso SHS,2018-05-16,3.11,5.1525726,-1.88152258
TA00002,Benso SHS,2018-05-17,3.54,5.1525726,-1.88152258
TA00002,Benso SHS,2018-05-18,0.04,5.1525726,-1.88152258
TA00002,Benso SHS,2018-05-19,8.37,5.1525726,-1.88152258
TA00003,Prestea SHTS,2018-05-15,0.79,5.4468564,-2.13392852
TA00003,Prestea SHTS,2018-05-16,0.25,5.4468564,-2.13392852
TA00003,Prestea SHTS,2018-05-17,10.13,5.4468564,-2.13392852
TA00003,Prestea SHTS,2018-05-18,5.58,5.4468564,-2.13392852
TA00003,Prestea SHTS,2018-05-19,4.75,5.4468564,-2.13392852
TA00004,Manso Amenfi NVTI,2018-05-15,0.1,5.643022,-2.26681728
TA00004,Manso Amenfi NVTI,2018-05-16,0.18,5.643022,-2.26681728
TA00004,Manso Amenfi NVTI,2018-05-17,0.04,5.643022,-2.26681728
TA00004,Manso Amenfi NVTI,2018-05-18,0.02,5.643022,-2.26681728
TA00004,Manso Amenfi NVTI,2018-05-19,0.04,5.643022,-2.26681728
TA00005,Asankragwa SHS,2018-05-15,0,5.80769241,-2.42643302
TA00005,Asankragwa SHS,2018-05-16,7.2,5.80769241,-2.42643302
TA00005,Asankragwa SHS,2018-05-17,10.75,5.80769241,-2.42643302
TA00005,Asankragwa SHS,2018-05-18,0.77,5.80769241,-2.42643302
TA00005,Asankragwa SHS,2018-05-19,0.81,5.80769241,-2.42643302
TA00006,Nana Brentu SHTS Enchi,2018-05-15,0,5.81129176,-2.82561693
TA00006,Nana Brentu SHTS Enchi,2018-05-16,0.04,5.81129176,-2.82561693
TA00006,Nana Brentu SHTS Enchi,2018-05-17,15.97,5.81129176,-2.82561693
TA00006,Nana Brentu SHTS Enchi,2018-05-18,4.12,5.81129176,-2.82561693
TA00006,Nana Brentu SHTS Enchi,2018-05-19,0.06,5.81129176,-2.82561693
TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-15,0,7.18825723,-2.09751897
TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-16,0,7.18825723,-2.09751897
TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-17,0,7.18825723,-2.09751897
TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-18,0.04,7.18825723,-2.09751897
TA00007,Nana Yaa Kesse SHS Duayaw Nkwanta,2018-05-19,0.04,7.18825723,-2.09751897
TA00008,Sacred Heart SHS Nsoatre,2018-05-15,0,7.41300544,-2.47606859
TA00008,Sacred Heart SHS Nsoatre,2018-05-16,0,7.41300544,-2.47606859
TA00008,Sacred Heart SHS Nsoatre,2018-05-17,0.27,7.41300544,-2.47606859
TA00008,Sacred Heart SHS Nsoatre,2018-05-18,0.14,7.41300544,-2.47606859
TA00008,Sacred Heart SHS Nsoatre,2018-05-19,0,7.41300544,-2.47606859
TA00009,Adehyeman SHS Amasu,2018-05-15,0,7.224886,-2.7822522
TA00009,Adehyeman SHS Amasu,2018-05-16,0,7.224886,-2.7822522
TA00009,Adehyeman SHS Amasu,2018-05-17,0.83,7.224886,-2.7822522
TA00009,Adehyeman SHS Amasu,2018-05-18,0.02,7.224886,-2.7822522
TA00009,Adehyeman SHS Amasu,2018-05-19,0,7.224886,-2.7822522
TA00010,Chiraa SHS,2018-05-15,0.2,7.3896776,-2.18599491
TA00010,Chiraa SHS,2018-05-16,0.06,7.3896776,-2.18599491
TA00010,Chiraa SHS,2018-05-17,0.04,7.3896776,-2.18599491
TA00010,Chiraa SHS,2018-05-18,0.18,7.3896776,-2.18599491
TA00010,Chiraa SHS,2018-05-19,0.02,7.3896776,-2.18599491
TA00011,OLA Girls SS Kenyasi,2018-05-15,0.2,6.98578115,-2.3961548
TA00011,OLA Girls SS Kenyasi,2018-05-16,0.24,6.98578115,-2.3961548
TA00011,OLA Girls SS Kenyasi,2018-05-17,0.16,6.98578115,-2.3961548
TA00011,OLA Girls SS Kenyasi,2018-05-18,0.28,6.98578115,-2.3961548
TA00011,OLA Girls SS Kenyasi,2018-05-19,0.16,6.98578115,-2.3961548
TA00012,Hwidiem SHS,2018-05-15,0,6.93689228,-2.3538655
TA00012,Hwidiem SHS,2018-05-16,0.12,6.93689228,-2.3538655
TA00012,Hwidiem SHS,2018-05-17,0.82,6.93689228,-2.3538655
TA00012,Hwidiem SHS,2018-05-18,0.22,6.93689228,-2.3538655
TA00012,Hwidiem SHS,2018-05-19,0.06,6.93689228,-2.3538655
TA00013,Huni Valley SHS,2018-05-15,0.1,5.46947027,-1.90846766
TA00013,Huni Valley SHS,2018-05-16,11.99,5.46947027,-1.90846766
TA00013,Huni Valley SHS,2018-05-17,7.51,5.46947027,-1.90846766
TA00013,Huni Valley SHS,2018-05-18,4.68,5.46947027,-1.90846766
TA00013,Huni Valley SHS,2018-05-19,0.04,5.46947027,-1.90846766
TA00014,Juaboso SHS,2018-05-15,0,6.345183,-2.82625
TA00014,Juaboso SHS,2018-05-16,0,6.345183,-2.82625
TA00014,Juaboso SHS,2018-05-17,0,6.345183,-2.82625
TA00014,Juaboso SHS,2018-05-18,0,6.345183,-2.82625
TA00014,Juaboso SHS,2018-05-19,0,6.345183,-2.82625
TA00015,Bia SHTS Debiso,2018-05-15,0,6.664616,-3.097246
TA00015,Bia SHTS Debiso,2018-05-16,10.04,6.664616,-3.097246
TA00015,Bia SHTS Debiso,2018-05-17,26.83,6.664616,-3.097246
TA00015,Bia SHTS Debiso,2018-05-18,0,6.664616,-3.097246
TA00015,Bia SHTS Debiso,2018-05-19,0,6.664616,-3.097246
TA00016,Accra Academy School, Accra,2018-05-15,0,5.5730222,-0.24447074
TA00016,Accra Academy School, Accra,2018-05-16,0,5.5730222,-0.24447074
TA00016,Accra Academy School, Accra,2018-05-17,28.34,5.5730222,-0.24447074
TA00016,Accra Academy School, Accra,2018-05-18,0,5.5730222,-0.24447074
TA00016,Accra Academy School, Accra,2018-05-19,0,5.5730222,-0.24447074
TA00039,KNUST JHS Kumasi,2018-05-15,0,6.684166667,-1.568333333
TA00039,KNUST JHS Kumasi,2018-05-16,0,6.684166667,-1.568333333
TA00039,KNUST JHS Kumasi,2018-05-17,0,6.684166667,-1.568333333
TA00039,KNUST JHS Kumasi,2018-05-18,0,6.684166667,-1.568333333
TA00039,KNUST JHS Kumasi,2018-05-19,0,6.684166667,-1.568333333
TA00040,University for Development Studies, Navrongo Campus,2018-05-15,0,10.88472222,-1.090277778
TA00040,University for Development Studies, Navrongo Campus,2018-05-16,0,10.88472222,-1.090277778
TA00040,University for Development Studies, Navrongo Campus,2018-05-17,0,10.88472222,-1.090277778
